"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"MRCA_of_taxa_in_Oxydoras_ott842277",0,6,0,0,0,4,9
"Parachromis_ott295716",0,13,0,0,0,4,45
"Petromyzon_ott321787",8,7,1,1,0,6,54
"Phenacobius_ott636315",0,25,0,0,0,14,25
"Piaractus_ott24679",1,15,0,0,0,9,100
"Plecoglossus_ott736001",1,11,1,0,0,19,9
"Proterorhinus_ott264416",0,6,0,0,0,4,39
"MRCA_of_taxa_in_Pygocentrus_ott603563",5,19,0,0,0,7,95
"Luciopercinae_ott57420_MRCA_of_taxa_in_Sander_ott557675",6,89,0,5,0,87,100
"Aeromonas_ott181216",0,100,0,3,1,0,3
"Piscirickettsia_ott822752",0,100,0,0,0,0,0
"Renibacterium_ott93006",0,82,0,0,0,0,0
